userName,score,content,at,thumbsUpCount,reviewCreatedVersion,review_length,word_count,rating_sentiment
SANJAY SHARMA UIDAI,5,nice to GPT Chat Super Se uper,2026-06-23 20:00:33,0,1.2026.160,30,7,Positive
James Baron,5,very good app,2026-06-23 19:58:10,0,1.2026.160,13,3,Positive
Sachin Patil,5,"it's really interested, useful and easy to use(users friendly)",2026-06-23 19:56:58,0,1.2026.167,62,9,Positive
Irfan Ali,5,it's very good but very slow working,2026-06-23 19:55:18,0,1.2026.153,36,7,Positive
Vhulenda Lidzebe,5,Vhulenda LIDZEBE it's top using chatgtp,2026-06-23 19:52:45,0,1.2026.160,39,6,Positive
Abdalla Hassan,5,An excellent source of educational materials,2026-06-23 19:52:35,0,Unknown,44,6,Positive
Annesha Chowdhury,5,it’s a fantastic app i love it so much🥰❤️❤️,2026-06-23 19:51:28,1,1.2026.167,43,9,Positive
Zaara Ziks,5,im very happy with ChatGPT solved my unclear pics problem and makes so reality This is such an out standing.,2026-06-23 19:50:27,0,1.2026.167,108,20,Positive
Halathegreat0 Halathegreat0,4,I have one sided beef because they told me I can boil hotdogs with spaghetti and I believed chatgpt but it's ok y'all just don't be stupid,2026-06-23 19:50:07,0,Unknown,138,27,Positive
hamida adil,5,Brilliant I love it ❤️ ♥️,2026-06-23 19:49:15,0,1.2026.167,25,6,Positive
Martha Jacob,5,it's fast and reliable,2026-06-23 19:47:06,0,1.2026.125,22,4,Positive
Gazlyn A Zarwehgar,5,The app is good,2026-06-23 19:44:00,1,1.2026.167,15,4,Positive
Emmanuel Magola,5,chat gpt tells you everything but if he/she doesn't know he/she tells you politely,2026-06-23 19:43:28,0,1.2026.160,82,14,Positive
Anmol Mirza,4,nice app mujhy Boht help multi h is app SE,2026-06-23 19:43:27,1,1.2026.167,42,10,Positive
Dilwar Hossain,5,Good for help,2026-06-23 19:41:31,0,1.2026.167,13,3,Positive
Gloria Muoma,5,Great for a variety of things.,2026-06-23 19:40:04,0,1.2026.153,30,6,Positive
Nneka Juliet,5,it is fast but the only problem is that it skips and cracks 🤗🤗,2026-06-23 19:39:02,0,1.2026.125,62,14,Positive
caleb phiri,4,why plus version ,2026-06-23 19:39:01,0,1.2026.167,17,3,Positive
venkatesh g,5,good response and good editing,2026-06-23 19:38:06,0,1.2026.167,30,5,Positive
Phil Toner,5,Absolutely brilliant & marvellous app. Best ever x ❤️,2026-06-23 19:35:26,0,1.2026.153,53,9,Positive
Iqra Arain,5,Excellent work that's Great,2026-06-23 19:34:39,0,1.2026.167,27,4,Positive
Henok Yayehyrad,5,it's good app ,2026-06-23 19:33:33,0,1.2026.160,14,3,Positive
Rohan Gahlot,5,trustfully app,2026-06-23 19:30:11,0,1.2026.167,14,2,Positive
Ruth Siadunka,5,l love this app,2026-06-23 19:28:29,0,1.2026.167,15,4,Positive
Harsh Kumar,5,best app for uses and excellent service,2026-06-23 19:27:35,0,1.2026.160,39,7,Positive
Kishen Koemar,5,very helpful ☺️ ,2026-06-23 19:27:06,0,1.2026.160,16,3,Positive
Vrega Matau,5,working fast and really helpful,2026-06-23 19:25:47,0,1.2026.160,31,5,Positive
Abdulai tampuwura Hamdu,3,I'm really enjoying this app,2026-06-23 19:25:43,0,1.2026.160,28,5,Neutral
S Ameya cat,5,"love this app, use it on regular basis I just don't like it sometimes telling ""the message couldn't go "" even when there is no network or storage issues I have updated many times please do fix that issue leaving that it's a great app",2026-06-23 19:25:02,0,1.2026.167,233,45,Positive
امیروالا دانشور,5,it's perfect,2026-06-23 19:23:43,0,1.2026.167,12,2,Positive
naam to Suna hi hoga,5,paid version is my dream,2026-06-23 19:22:42,0,1.2026.160,24,5,Positive
Wonderfull Mutemachan,5,The best experience ever,2026-06-23 19:21:56,0,1.2026.160,24,4,Positive
kabson Ibrahim,4,very good and easy to used,2026-06-23 19:21:11,0,1.2026.167,26,6,Positive
wolukawu emma,4,excellently helpful,2026-06-23 19:20:18,0,1.2026.167,19,2,Positive
reza etezadi,5,best for creating pictures,2026-06-23 19:19:43,0,1.2026.167,26,4,Positive
Shahrukh Khan,5,great app ,2026-06-23 19:18:54,0,1.2026.167,10,2,Positive
Moony Haze,5,"really good app. it's very helpful and understanding. I appreciate the answers they give me, meaningful and thoughtful.",2026-06-23 19:18:49,0,Unknown,119,18,Positive
Rabeeh Tk,5,very good app,2026-06-23 19:17:48,0,1.2026.160,13,3,Positive
Dilip Sahni,5,best app ever animals in life,2026-06-23 19:16:32,0,1.2026.167,29,6,Positive
Robert Roseline,5,wonderful✨ and loving❤️ the vibes,2026-06-23 19:14:43,0,1.2026.139,33,5,Positive
Penny Sampson,4,sometimes it has no idea what I mean,2026-06-23 19:12:50,0,1.2026.167,36,8,Positive
Hussain Abdulkarim,4,very helpful,2026-06-23 19:11:52,1,1.2026.160,12,2,Positive
Kordinoye Rachel,5,It's a good app for assistance giving accurate results at all times,2026-06-23 19:11:51,1,1.2026.153,67,12,Positive
UBONGABASI SATURDAY ETIM,5,My World Best App,2026-06-23 19:11:43,1,1.2026.167,17,4,Positive
Samuel Payton,1,never understands more than one prompt burning through free limit trying to get you to up grade. I'm uninstalling this app. Greed is killing humanity.,2026-06-23 19:10:35,1,1.2026.153,150,25,Negative
Neha Pradhan,5,very supportive,2026-06-23 19:10:09,1,1.2026.167,15,2,Positive
Latonya Johnson,5,I love Chat GPT down. It's the best thing since sliced bread.,2026-06-23 19:09:06,1,1.2026.167,61,12,Positive
Amrik singh Panjabi,5,this is amazing,2026-06-23 19:08:05,1,Unknown,15,3,Positive
Selma Tangeni Shigwedha,5,a very good app and helpfull for children,2026-06-23 19:05:54,1,1.2026.167,41,8,Positive
Mivule Moses,3,it makes things easy and work faster,2026-06-23 19:05:01,1,1.2026.160,36,7,Neutral
Ikechukwu Mercy C,5,"it really fun,educative and amazing I love the fact that it changes what ever you want and give you a wonderful result",2026-06-23 19:04:15,1,1.2026.167,118,22,Positive
Ezekiel Ezealor,5,"I haven't been using this app very long but so far it is very good, it gives me clear professional responses to all the questions that I asked. It also has amazing features that allow you to gain information in ways that I have not been able to do before.",2026-06-23 19:04:13,1,1.2026.167,255,50,Positive
Siyabonga Kumalo,5,l prefer this,2026-06-23 19:03:18,1,1.2026.167,13,3,Positive
Thandolwethu Thabethe,2,"highly recommend this app , it's easily help",2026-06-23 19:01:40,0,1.2026.104,44,8,Negative
Siyaka Sefiya,5,so so easy to use,2026-06-23 19:01:28,1,1.2026.167,17,5,Positive
Kingslee Boye,5,the is the greatest work of art of all time,2026-06-23 19:01:11,1,1.2026.167,43,10,Positive
Esther Ajoke,5,it's cool and amazing.,2026-06-23 18:59:45,1,1.2026.167,22,4,Positive
Muhammad Ashiq,1,Wonder full application,2026-06-23 18:58:47,0,1.2026.167,23,3,Negative
Ayobami Kafilat,5,It is so great,2026-06-23 18:58:43,0,1.2026.146,14,4,Positive
Hetal Chauhan,5,it is very good app it is very helpful ☺️,2026-06-23 18:57:32,0,1.2026.160,41,10,Positive
INABOYA HeLINA,5,this is a very good and amazing app . Love it ❣️,2026-06-23 18:55:19,0,1.2026.125,48,12,Positive
Kumari Bai Rawte,5,that's very helpful,2026-06-23 18:54:19,0,1.2026.146,19,3,Positive
Raziq Study,5,good working app nice,2026-06-23 18:53:15,0,1.2026.167,21,4,Positive
NAWE ONLINE,5,love chatgpt,2026-06-23 18:52:55,0,1.2026.167,12,2,Positive
Ritu Yadav,5,it's really a good friend,2026-06-23 18:52:38,0,1.2026.160,25,5,Positive
Mohd Shadab Azmi,5,good apps nice,2026-06-23 18:47:44,1,1.2026.167,14,3,Positive
Richard Dickerson,1,nice but only a few questions can be asked.,2026-06-23 18:46:39,0,1.2026.167,43,9,Negative
Abdurrahman Haruna Aliyu,5,a very wonderful and nice app that I never see and think I can see in my life,2026-06-23 18:46:24,1,1.2026.167,77,18,Positive
Godsway Kudzeanyi,4,best ai I've used so far,2026-06-23 18:45:40,0,1.2026.153,24,6,Positive
Chandan Shikhar,5,best knowledge and suggestions,2026-06-23 18:45:27,0,1.2026.153,30,4,Positive
Patrick Mohlala,5,it's very helpful ,2026-06-23 18:45:21,0,1.2026.167,18,3,Positive
Timmy Price,5,"I wish it didn't use alot of water and buy out farmers, but it's neat-ish...",2026-06-23 18:45:13,0,1.2026.146,76,15,Positive
Etayy Ahmed,4,DW the 77presnt,2026-06-23 18:43:42,0,1.2026.160,15,3,Positive
Solomon Melody,1,went to open chat GPT,2026-06-23 18:43:22,0,1.2026.139,21,5,Negative
Manju Daksh,5,best app must try it once,2026-06-23 18:42:34,0,1.2026.160,25,6,Positive
Amir Kanhiya,5,very nice app,2026-06-23 18:42:05,0,1.2026.160,13,3,Positive
Lamont Jackson,5,Amazing at making dreams happen from scratch. Everything i know now is becuase I took my brothers advice and started asking questions with Chat Gpt.,2026-06-23 18:40:24,0,1.2026.167,148,25,Positive
Aman Yadav,5,work easily,2026-06-23 18:40:11,0,1.2026.153,11,2,Positive
Tasiyano Savieri,1,it's not specific,2026-06-23 18:40:10,0,1.2026.167,17,3,Negative
Tomasz Winiarski,5,Great app!,2026-06-23 18:38:57,0,1.2026.167,10,2,Positive
Jeevan kumar Magan,5,very useful,2026-06-23 18:35:13,0,1.2026.160,11,2,Positive
Daniel Schwartz,1,"it's the new Duolingo. upsell at all times and provide way less than Gemini. Completely lobotomized, unsustable enshittification poster child now.",2026-06-23 18:34:40,0,1.2026.104,146,21,Negative
Khan Khani,5,"I'm proud of you This is so good app, so helpful",2026-06-23 18:34:19,0,1.2026.167,48,11,Positive
Boom Baebe,5,"This app is best not only study but, for knowledge or any dought or question every time.",2026-06-23 18:34:11,0,1.2026.167,88,17,Positive
Moses Peculiar,4,I love this app its help me in assignment and other things,2026-06-23 18:34:08,0,1.2026.167,58,12,Positive
Cathrine Marunga,4,I love it so much ,2026-06-23 18:33:32,0,1.2026.167,18,5,Positive
praveen kumar,5,become my friend,2026-06-23 18:32:58,0,1.2026.160,16,3,Positive
NDIBE MOSES,5,Great Tool,2026-06-23 18:32:07,0,1.2026.167,10,2,Positive
Abdulazeem Paican,4,"The best , but with alot of limits",2026-06-23 18:31:02,0,1.2026.125,34,8,Positive
Daniel Agbeko,5,"chat gpt is very good and exciting, very interesting is good for everybody...",2026-06-23 18:30:55,0,1.2026.160,77,13,Positive
Adasola Olayiwola,5,It's just exceptional,2026-06-23 18:29:52,0,Unknown,21,3,Positive
Omar Bishar,4,just slower response on creating images,2026-06-23 18:29:19,0,1.2026.160,39,6,Positive
Poribar Actor Official,5,this is good ,2026-06-23 18:28:54,0,1.2026.160,13,3,Positive
IJKContractor,5,it's different all apps,2026-06-23 18:27:11,0,1.2026.167,23,4,Positive
Mk electricals 8802282017,5,but very slow,2026-06-23 18:26:24,0,1.2026.160,13,3,Positive
Surojit Jana,5,very good app,2026-06-23 18:25:54,0,1.2026.167,13,3,Positive
Satish Chand,3,not bad but the processing is slow ,2026-06-23 18:23:24,0,1.2026.167,35,7,Neutral
Mary Amisi,5,Amazing expecially for creating images,2026-06-23 18:23:10,0,1.2026.167,38,5,Positive
Gregg,1,Gemini the way to go,2026-06-23 18:22:33,1,1.2025.238,20,5,Negative
mrs lucky,4,I think it would be better if chat could perfectly remember details said in other conversations. overall great tool,2026-06-23 18:21:01,0,1.2026.167,115,19,Positive
Swarhimpriya Swarhimpriya,5,very supportive app,2026-06-23 18:20:40,0,1.2026.160,19,3,Positive
Ajai Kumar,5,it's very helpful,2026-06-23 18:20:08,0,1.2026.167,17,3,Positive
Vijay Sandhiya,5,very interesting app,2026-06-23 18:19:58,0,1.2026.167,20,3,Positive
Vineet kumar Vishwakarma,5,very good aap thank you so much,2026-06-23 18:19:37,0,1.2026.167,31,7,Positive
Nayana Behera,4,"worst AI app ever ,the WORST. so many glitches,the chats get deleted on it's on. please don't use this app. it's the shittiest. use deepseek or gemini",2026-06-23 18:19:26,0,1.2026.153,150,27,Positive
Adonna,5,It's the best companion I've ever had!🥰,2026-06-23 18:18:27,0,1.2026.153,39,7,Positive
Suzanne Pearson,5,it's been great so far. so sorry I took ages to try it. I've learnt so much. it is a really useful tool with someone who is neurodiversre,2026-06-23 18:18:19,0,1.2026.167,137,28,Positive
Tyrone Stormer,5,gpt know everything,2026-06-23 18:17:49,0,1.2026.167,19,3,Positive
Marquita Lucas,1,Upgraded to plus just for it to not work.,2026-06-23 18:17:16,0,1.2026.167,41,9,Negative
Withun Aarush,5,this is very amazing,2026-06-23 18:17:14,0,1.2026.160,20,4,Positive
Ayomiposi,5,the best ai app,2026-06-23 18:14:30,0,1.2026.125,15,4,Positive
Cynthia Paul,5,chatgpt has been the best app so far,2026-06-23 18:13:04,0,1.2026.160,36,8,Positive
